season,date,sourceTeam,destTeam,marketValue,price
21/22,2022-01-07,Legia Warszawa,Pogon Szczecin,100000,?
19/20,2020-07-31,Miedz Legnica,Legia Warszawa,200000,End of loan
19/20,2020-02-24,Legia Warszawa,Miedz Legnica,200000,loan transfer
18/19,2019-06-30,Podbeskidzie,Legia Warszawa,300000,End of loan
18/19,2019-01-13,Legia Warszawa,Podbeskidzie,75000,loan transfer
18/19,2019-01-12,Podbeskidzie,Legia Warszawa,75000,200000
16/17,2017-01-01,Podbeskidzie II,Podbeskidzie,-,-
15/16,2015-07-01,Piast Cieszyn,Podbeskidzie II,-,?
14/15,2015-01-01,Gornik U19,Piast Cieszyn,-,free transfer
13/14,2013-07-01,Karvina U19,Gornik U19,-,free transfer
11/12,2012-01-01,Podbeskidzie Bielsko-Biala U19,Karvina U19,-,free transfer
